Organism	Organism	1.0
Plant	Organic Chemical	0.4831684524642014
Fungus	Organism	0.5002939866425961
Virus	Virus	1.0
Bacterium	Organism	0.5300160548266828
Animal	Animal	1.0
Vertebrate	Organism	0.49011890051551016
Amphibian	Organism	0.45157635684712105
Bird	Disease	0.4110835921926369
Fish	Organism	0.4031272732315816
Reptile	Organism	0.467834893755051
Mammal	Organism	0.49350793029160556
Human	Virus	0.5333284706092917
Anatomical Structure	Concept	0.5371133379026588
Embryonic Structure	Molecule	0.5499541442276471
Congenital Abnormality	Behavior	0.3973905941325065
Acquired Abnormality	Behavior	0.4233347428785283
Fully Formed Anatomical Structure	Molecule	0.6190347750900665
Body System	Body Part	0.7525274626896906
Body Part, Organ, or Organ Component	Organ	0.819279997176884
Tissue	Cell	0.5466195137802886
Cell	Cell	1.0
Cell Component	Cell	0.7227659224678998
Gene or Genome	Organism	0.5687915372898097
Body Location or Region	Body Part	0.7182060300832498
Body Space or Junction	Body Part	0.6828323501687819
Body Substance	Body Part	0.6943080023937893
Organism Attribute	Organism	0.9148434555932553
Finding	Finding	1.0
Laboratory or Test Result	Medical Device	0.6439139620446572
Injury or Poisoning	Disease	0.4890801406735647
Biologic Function	Concept	0.6072931542823402
Physiologic Function	Behavior	0.595700819907736
Organism Function	Organism	0.876105247946436
Mental Process	Concept	0.61318741889252
Organ or Tissue Function	Organ	0.8319489988413739
Cell Function	Cell	0.8311242629345136
Molecular Function	Molecule	0.5936654262899775
Genetic Function	Molecule	0.6111093616917832
Pathologic Function	Procedure	0.508145832458701
Disease or Syndrome	Disease	0.8558072822216549
Mental or Behavioral Dysfunction	Behavior	0.7420326238952734
Cell or Molecular Dysfunction	Cell	0.7697442057705951
Experimental Model of Disease	Disease	0.7799196487006516
Event	Symptom	0.5322243898511474
Activity	Behavior	0.6097562521980667
Behavior	Behavior	1.0
Social Behavior	Behavior	0.8983005401483305
Individual Behavior	Behavior	0.9105899240322027
Daily or Recreational Activity	Behavior	0.5648202555425141
Occupational Activity	Behavior	0.6119317567137127
Health Care Activity	Medical Device	0.7252438367569979
Laboratory Procedure	Procedure	0.7781812956761132
Diagnostic Procedure	Procedure	0.8082163266153994
Therapeutic or Preventive Procedure	Procedure	0.6900066705032869
Research Activity	Medical Device	0.7552643482375636
Molecular Biology Research Technique	Medical Device	0.7772078052418744
Governmental or Regulatory Activity	Medical Device	0.5199010368687536
Educational Activity	Behavior	0.6295667622196929
Machine Activity	Concept	0.5224282201270548
Phenomenon or Process	Concept	0.6806402650596265
Human-caused Phenomenon or Process	Concept	0.5878724558758728
Environmental Effect of Humans	Medical Device	0.5228159829658454
Natural Phenomenon or Process	Concept	0.6894557572658195
Entity	Concept	0.6238369320087882
Physical Object	Concept	0.6045064854525082
Manufactured Object	Concept	0.6074678424654565
Medical Device	Medical Device	1.0
Research Device	Medical Device	0.9122213521903858
Conceptual Entity	Concept	0.714426183754309
Idea or Concept	Concept	0.8652446267710272
Temporal Concept	Concept	0.7673046662075632
Qualitative Concept	Concept	0.7646964706516398
Quantitative Concept	Concept	0.6874454108504489
Spatial Concept	Concept	0.8217367917506884
Geographic Area	Concept	0.45644530860977234
Molecular Sequence	Molecule	0.48071942946188406
Nucleotide Sequence	Organism	0.4580908770842487
Amino Acid Sequence	Molecule	0.5136599389882041
Carbohydrate Sequence	Molecule	0.5337760791341941
Regulation or Law	Medical Device	0.48539780900511686
Occupation or Discipline	Medical Device	0.5879399985599832
Biomedical Occupation or Discipline	Medical Device	0.7523631395637105
Organization	Organization	1.0
Health Care Related Organization	Organization	0.8047047801060083
Professional Society	Medical Device	0.6815483934712684
Self-help or Relief Organization	Organization	0.7717048210262579
Group	Group	1.0
Professional or Occupational Group	Medical Device	0.6436973346617341
Population Group	Group	0.8129992208073002
Family Group	Group	0.8377954096406423
Age Group	Group	0.7714322126790947
Patient or Disabled Group	Group	0.703478214755629
Group Attribute	Group	0.7661031186876013
Chemical	Organic Chemical	0.8360416449655284
Chemical Viewed Structurally	Organic Chemical	0.65724305303305
Organic Chemical	Organic Chemical	1.0
Nucleic Acid, Nucleoside, or Nucleotide	Molecule	0.4958391451628369
Amino Acid, Peptide, or Protein	Molecule	0.5268762817703888
Chemical Viewed Functionally	Organic Chemical	0.6377126645466212
Pharmacologic Substance	Drug	0.46384199857450437
Biomedical or Dental Material	Medical Device	0.6237722631738606
Biologically Active Substance	Molecule	0.48771425800679147
Hormone	Drug	0.3539162300599165
Enzyme	Product	0.48407939954776796
Vitamin	Body Part	0.2793522911401366
Immunologic Factor	Molecule	0.44936201454700675
Indicator, Reagent, or Diagnostic Aid	Medical Device	0.6072020131449922
Hazardous or Poisonous Substance	Drug	0.5333080978326967
Substance	Drug	0.47300260149357726
Food	Drug	0.7267513008667803
Functional Concept	Concept	0.8437683173878041
Intellectual Product	Product	0.7836076151008031
Language	Concept	0.5801250233462624
Sign or Symptom	Symptom	0.84184843944802
Classification	Organization	0.5446971815727152
Anatomical Abnormality	Concept	0.5017584638224962
Neoplastic Process	Concept	0.5793355160312057
Receptor	Molecule	0.6248259544810372
Archaeon	Organism	0.3051970205790313
Antibiotic	Drug	0.4175923800814609
Element, Ion, or Isotope	Organic Chemical	0.5768011263575029
Inorganic Chemical	Organic Chemical	0.8887497866334033
Clinical Drug	Drug	0.884383344801766
Clinical Attribute	Concept	0.6726699315184246
Drug Delivery Device	Drug	0.8218020134913852
Eukaryote	Organism	0.47443681937460963
